"id"|"position"|"title"|"date"|"category"|"social_id"|"html_description"|"html_short_description"|"html_link"|"visible"|"created_at"|"updated_at"
"8"|"0"|"Ricordare Alcide De Gasperi"|"2019-09-01"|"NEWS"|NULL|"<p>È dal 2008 che a Reggio Emilia, per iniziativa del Circolo di cultura “Giuseppe Toniolo” e di altre associazioni cattoliche, si tiene viva la memoria del grande statista trentino, Servo di Dio, Alcide De Gasperi, attraverso una Messa estiva. Le omelie commemorative sono state raccolte in un volume, che presenteremo, con Luigi Bottazzi (presidente del Circolo culturale) e don Lorenzo Zamboni (docente di Storia della Chiesa), alle ore 17 di venerdì 20 settembre 2019, nel chiostro della Ghiara a Reggio Emilia. Quest’anno la Messa, a seguire – in Basilica, alle 18.30 – sarà presieduta dal vescovo Massimo Camisasca.</p>"|"<p><span style=""color: rgb(34, 34, 34);"">Venerdì 20 settembre 2019 Reggio Emilia ricorda lo statista trentino</span></p>"|NULL|"1"|"2019-12-21 08:44:03"|"2019-12-21 20:30:14"
"9"|"1"|"Riconciliazione e clero martire"|"2019-09-01"|"NEWS"|NULL|"<p>L’appuntamento è per domenica 22 settembre 2019: “Vexilla Regis prodeunt”, avanzano i vessilli del Re. Quel vessillo è la Croce di Cristo. E l’incontro serve a continuare, nella memoria del clero martire (1943-1946) di Reggio Emilia-Guastalla, il percorso di riconciliazione avviato dalla Chiesa locale. Due momenti collegati: alle 16 il convegno nella sala conferenze del Museo diocesano con le relazioni del professor Giuseppe Giovanelli, storico, e di don Carlo Pagliari, biblista. Quindi, alle 18, la Messa in Cattedrale. Il vescovo Massimo Camisasca parteciperà al convegno e presiederà l’Eucarestia.</p>"|"<p><span style=""color: rgb(34, 34, 34);"">Il ricordo del clero reggiano martire: domenica 22 settembre 2019</span></p>"|NULL|"1"|"2019-12-21 11:27:13"|"2019-12-21 20:30:14"
"10"|"2"|"Nuova fioritura di canzoni"|"2019-09-11"|"NEWS"|NULL|"<p>Dopo la lunga stagione compositiva raccontata nel libro “E con questa vita Ti canto” (Edizioni San Lorenzo), nell’estate 2019, tra l’isola di Krk e la casa di Reggio, ho scritto i testi di quelle che mi piacerebbe diventassero nuove canzoni. Non tutti sono testi religiosi. Per alcuni ho immaginato anche la veste sonora, ma nella maggior parte dei casi mi sono rivolto ad amici musicisti e compositori. Non ci sono scadenze e non si può pensare a un progetto unitario, per ora, ma spero ci sarà l’occasione per presentare qualcosa di questa nuova produzione.</p>"|"<p><span style=""color: rgb(34, 34, 34);"">L'estate ha portato nuovi testi di canzoni: musiche work in progress...</span></p>"|NULL|"1"|"2019-12-21 11:34:45"|"2019-12-21 20:30:14"
"11"|"3"|"Evangelizzazione e nuovi linguaggi"|"2020-02-01"|"NEWS"|"1"|"<p>Mercoledì 12 febbraio 2020 sono stato invitato nell’Oratorio di Montecchio (Reggio Emilia) alle ore 21 per iniziativa della Scuola di Formazione Teologica Val d’Enza, nell’ambito del corso annuale dedicato al tema dell’Evangelizzazione. Ci si domanderà come la Chiesa ha annunciato nei primi tempi della sua esistenza, partendo dagli Atti degli apostoli, per cercare di cogliere alcune linee guida valide allora come oggi. In particolare, commenterò i passi in cui Filippo battezza un ministro etiope e Paolo tiene il famoso discorso all'Areopago di Atene. Come attualizzazione sul tema dell'Evangelizzazione, non mancherà un cenno ai nuovi linguaggi e ai moderni areopaghi dei media e dei social, che da un lato moltiplicano le opportunità di contatto, dall’altro fanno crescere chiusure e incomprensioni.</p>"|"<p><span style=""color: rgb(34, 34, 34);"">La Chiesa annuncia sempre Cristo, ma cambiano i linguaggi</span></p>"|"<p><br></p>"|"0"|"2019-12-21 11:37:51"|"2020-02-02 14:24:20"
"12"|"4"|"“Di luci e di ombre” a Radio Vaticana"|"2019-09-13"|"NEWS"|NULL|"<p>Il giornalista Rosario Tronnolone di Radio Vaticana mi ha intervistato in diretta telefonica insieme a Massimo Camisasca a proposito del nostro libro “Di luci e di ombre. Dialoghi sulla vita quotidiana”, pubblicato nel 2019 dalla Compagnia editoriale Aliberti e nato dalla nostra frequentazione intorno a dodici grandi temi della vita dell’uomo. L’intervista è andata in onda il 15 luglio 2019. Abbiamo parlato in particolare dei capitoli dedicati al silenzio, all’amicizia e all’obbedienza. È disponibile online la registrazione della conversazione radiofonica.</p>"|"<p><span style=""color: rgb(34, 34, 34);"">&nbsp;L'intervista di Rosario Tronnolone agli autori del libro</span></p>"|NULL|"1"|"2019-12-21 15:41:44"|"2019-12-21 20:30:14"
"13"|"5"|"Dialogo con Crepet e Camisasca"|"2019-09-14"|"NEWS"|NULL|"<p>Come rendere più costruttivo il dialogo scuola-famiglia nell’educazione dei figli? È solo uno degli spunti della conversazione tra Paolo Crepet, psichiatra e sociologo, e monsignor Massimo Camisasca, vescovo di Reggio Emilia-Guastalla, che ho avuto il piacere di coordinare a Pieve di Guastalla, nell’Arena spettacoli della Sagra, nel dopocena di mercoledì 11 settembre 2019. L’occasione dell’evento era la ricorrenza del 150° anno di attività della Scuola “Bambino Gesù”. Titolo: “L’educazione come cerniera del cambiamento”.</p>"|"<p><span style=""color: rgb(34, 34, 34);"">Figli, genitori, scuola e tecnologie: ne abbiamo parlato a Guastalla</span></p>"|NULL|"1"|"2019-12-21 15:43:50"|"2019-12-21 20:30:14"
"14"|"6"|"Mariantonia Avati su “Family man”"|"2019-09-23"|"NEWS"|NULL|"<p>Il 18 settembre 2019 ho ricevuto questo commento della scrittrice e regista Mariantonia Avati al libro “Family man”: “Il suo libro è un diario tenero e commovente, i brevi capitoli consentono a chi lo legge di trarre un pretesto di riflessione quotidiano. Immagino che questa fosse la sua intenzione e le confermo che ha raggiunto appieno un ottimo risultato. I brani che dedica al rapporto con sua moglie sono scritti con mano leggera e sentimento struggente. Lei sa parlare di cose che conosco ma che col tempo ho dimenticato. Ritengo che il suo racconto sia utilissimo a risvegliare sfumature di un sentimento che seppur importante ed eterno a volte stenta a trovare una forma di espressione. Il concetto ‘per sempre’, come auspicio e mai condanna, aleggia in ogni pagina. Grazie di avermi resa partecipe della sua affettività. Mi auguro e auguro alla nostra società che il suo libro venga letto, accolto, amato. Gioverebbe a tutti”.</p>"|"<p>Il 18 settembre 2019 ho ricevuto questo commento della scrittrice e regista Mariantonia Avati</p>"|NULL|"1"|"2019-12-21 15:46:36"|"2019-12-21 20:30:14"
"15"|"7"|"Educare anche in pensione"|"2019-09-23"|"NEWS"|NULL|"<p>Nel 2018 il “Discorso alla Città” tenuto dal Vescovo a Reggio Emilia per la festa del patrono san Prospero era dedicato all’educazione: “Educare ancora” il titolo. Il tema investe in primo luogo genitori, insegnanti, allenatori, animatori di oratorio, però con l’età della pensione non si smette di educare le nuove generazioni. Ne parleremo in un incontro pubblico promosso da Cupla Pensionati Autonomi per mercoledì 16 ottobre 2019 alle 10.30 al Classic Hotel di Reggio Emilia, con l’intervista a monsignor Massimo Camisasca e al professor Cesare Rinaldini, docente presso il Dipartimento Educazione e Scienze Umane dell’Università di Modena e Reggio Emilia.</p>"|"<p>Nel 2018 il “Discorso alla Città” tenuto dal Vescovo a Reggio Emilia</p>"|NULL|"1"|"2019-12-21 15:48:50"|"2019-12-21 20:30:14"
"16"|"8"|"Incontro a Palazzo da Mosto"|"2019-10-23"|"NEWS"|"3"|"<p>La presentazione del libro ""Di luci e di ombre"", di Massimo Camisasca e Edoardo Tincani, è stata inserita nella nuova rassegna ""Incontri a Palazzo"", ideata da Fondazione Nazionale della Danza/Aterballetto e Aliberti Lab con il sostegno di Fondazione Manodori e Par.Co. e con la collaborazione dell'Istituto Musicale ""Peri-Merulo"". Tutti gli eventi avranno luogo nel complesso rinascimentale di Palazzo da Mosto (nella foto), in via Mari 7 a Reggio Emilia, recentemente restaurato dalla Fondazione Manodori e ora aperto alla vita culturale cittadina. ""Di luci e di ombre"" sarà presentato mercoledì 23 ottobre 2019 alle 21; dopo l'introduzione di Alessandro Di Nuzzo, direttore editoriale di Aliberti, la serata sarà condotta da Stefano Scansani, direttore de ""La Gazzetta di Reggio"", il quale converserà anche con gli autori, il vescovo Camisasca e Edoardo Tincani.</p>"|"<p>""Di luci e di ombre"", presentazione mercoledì 23 ottobre 2019 alle 21</p>"|"<p><a href=""https://www.edoardotincani.it/cms/news/15/La%20presentazione%20del%20libro%20%22Di%20luci%20e%20di%20ombre%22,%20di%20Massimo%20Camisasca%20e%20Edoardo%20Tincani"" target=""_blank"">La presentazione del libro ""Di luci e di ombre"", di Massimo Camisasca e Edoardo Tincani</a></p>"|"1"|"2019-12-21 15:53:42"|"2019-12-21 20:30:14"
"17"|"9"|"Conosci Carlo Acutis?"|"2019-10-19"|"NEWS"|NULL|"<p>Sabato 19 ottobre 2019 alle 15.30 nel teatro parrocchiale di San Pietro a Reggio Emilia, in via Campo Samarotto, dialogo con Antonia Salzano, la madre di Carlo Acutis, citato da Papa Francesco come esempio per i giovani nell'Esortazione post-sinodale ""Christus vivit""</p>"|"<p>Parliamo di questo ragazzo morto di leucemia fulminante, già Venerabile per la Chiesa, con la madre</p>"|NULL|"1"|"2019-12-21 16:15:12"|"2019-12-21 20:30:14"
