"id";"table_id";"filename";"cropped_filename";"table_name";"type";"is_cover";"created_at";"updated_at"
"16";"8";"1576931122121_alcide.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 11:25:22";"2019-12-21 11:25:25"
"17";"9";"1576931574737_invito.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 11:32:56";"2019-12-21 11:32:59"
"18";"10";"1576931736127_musica.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 11:35:37";"2019-12-21 11:35:44"
"19";"11";"1576931914193_sanpaolo.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 11:38:35";"2019-12-21 11:38:37"
"20";"12";"1576946558589_book1ok.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 15:42:39";"2019-12-21 15:42:42"
"21";"13";"1576946669391_crepet.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 15:44:30";"2019-12-21 15:44:33"
"22";"14";"1576946848946_mariantonia.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 15:47:29";"2019-12-21 15:47:39"
"23";"14";"1576946855344_familyman.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 15:47:36";"2019-12-21 15:47:39"
"24";"15";"1576947108488_nonno.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 15:51:49";"2019-12-21 15:51:51"
"25";"16";"1576947299112_damosto3.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 15:55:00";"2019-12-21 15:55:11"
"26";"17";"1576948555723_acutiscop.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 16:15:56";"2019-12-21 16:15:59"
"27";"18";"1576948672650_libri4998big.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 16:17:53";"2019-12-21 16:18:04"
"28";"18";"1576948681150_rita3.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 16:18:01";"2019-12-21 16:18:04"
"29";"19";"1576948841134_dsc0145.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 16:20:45";"2019-12-21 16:21:30"
"30";"19";"1576948860662_dsc0147.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 16:21:01";"2019-12-21 16:21:29"
"31";"19";"1576948868376_dsc0166.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 16:21:09";"2019-12-21 16:21:29"
"32";"19";"1576948881391_dsc0173.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 16:21:22";"2019-12-21 16:21:29"
"33";"20";"1576949074436_341.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 16:24:35";"2019-12-21 16:26:01"
"34";"20";"1576949099501_noifamigliacopertina_jpg.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 16:25:02";"2019-12-21 16:26:01"
"35";"20";"1576949116081_noifamiglia1jpg.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 16:25:25";"2019-12-21 16:26:01"
"36";"20";"1576949153178_noifamiglia2jpg.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 16:25:55";"2019-12-21 16:26:01"
"37";"21";"1576949428720_cimit.jpeg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 16:30:29";"2019-12-21 16:30:51"
"38";"21";"1576949438341_ahr3z3g01.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 16:30:38";"2019-12-21 16:30:51"
"39";"21";"1576949448145_02halloweenlondrabambini.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 16:30:48";"2019-12-21 16:30:51"
"40";"22";"1576949587813_silenzio2.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 16:33:09";"2019-12-21 16:33:16"
"41";"23";"1576949852788_copertina.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 16:37:33";"2019-12-21 17:18:15"
"42";"24";"1576950681173_copertina.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 16:51:21";"2019-12-21 16:55:26"
"43";"24";"1576950695210_papaudienzafisc16dic2017161220170132.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 16:51:36";"2019-12-21 16:55:26"
"45";"24";"1576950724995_papaudienzafisc16dic2017161220170043.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 16:52:09";"2019-12-21 16:55:26"
"46";"25";"1576951306286_copertina.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 17:01:47";"2019-12-21 17:02:38"
"48";"25";"1576951345532_fiscassemblea231120190119.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:02:26";"2019-12-21 17:02:38"
"49";"25";"1576951351187_assembleafisc1.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:02:31";"2019-12-21 17:02:38"
"50";"26";"1576951908455_copertina.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 17:11:49";"2019-12-21 17:12:45"
"51";"26";"1576951924173_dsc1075loreto.jpeg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:12:05";"2019-12-21 17:12:45"
"53";"26";"1576951958682_dsc1106angelodonati.jpeg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:12:40";"2019-12-21 17:12:45"
"54";"27";"1576952144231_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 17:15:44";"2019-12-21 17:15:47"
"55";"28";"1576952689479_dsc1098.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 17:24:50";"2019-12-21 17:32:52"
"56";"28";"1576952703983_dsc1089.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:25:04";"2019-12-21 17:32:52"
"57";"28";"1576952712709_dsc1092.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:25:13";"2019-12-21 17:32:52"
"58";"28";"1576952726257_dsc1119.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:25:27";"2019-12-21 17:32:52"
"59";"28";"1576952744455_dsc1102.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:25:45";"2019-12-21 17:32:52"
"60";"28";"1576952760636_dsc1110.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:26:01";"2019-12-21 17:32:52"
"61";"28";"1576952777586_dsc1164.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:26:18";"2019-12-21 17:32:52"
"62";"28";"1576952794328_dsc1127.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:26:35";"2019-12-21 17:32:52"
"63";"28";"1576952803158_dsc1184.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:26:44";"2019-12-21 17:32:52"
"64";"28";"1576953001645_locandinagavassa_11916.pdf";NULL;"NEWS";"FILE";"0";"2019-12-21 17:30:02";"2019-12-21 17:30:02"
"65";"29";"1576954075092_pubblicoda_dietro.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:47:56";"2019-12-21 17:51:40"
"66";"29";"1576954090760_locandina2_maggio.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:48:11";"2019-12-21 17:51:40"
"67";"29";"1576954116283_tincaniin_piedi e vescovo seduto.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 17:48:37";"2019-12-21 17:51:40"
"70";"29";"1576954231020_vescovoin_piedi e tincani seduto.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:50:32";"2019-12-21 17:51:40"
"71";"29";"1576954249660_pubblicoda_davanti.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:50:50";"2019-12-21 17:51:40"
"72";"29";"1576954269969_coroe_ensemble musicale.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:51:10";"2019-12-21 17:51:40"
"73";"30";"1576954447414_dsc2270.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 17:54:09";"2019-12-21 17:54:32"
"74";"30";"1576954466906_dsc2266.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:54:27";"2019-12-21 17:54:32"
"75";"31";"1576954653306_dsc0653.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 17:57:35";"2019-12-21 17:58:03"
"76";"31";"1576954667316_dsc0685.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:57:48";"2019-12-21 17:58:03"
"77";"31";"1576954674942_dsc0687.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 17:57:56";"2019-12-21 17:58:03"
"78";"32";"1576954921899_dsc1718.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 18:02:03";"2019-12-21 18:02:44"
"79";"32";"1576954948651_dsc1743.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 18:02:29";"2019-12-21 18:02:44"
"81";"32";"1576955003656_diluci.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 18:03:24";"2019-12-21 18:03:24"
"82";"33";"1576955148964_dsc0339.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 18:05:50";"2019-12-21 18:06:26"
"83";"33";"1576955157487_dsc0300.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 18:05:58";"2019-12-21 18:06:26"
"84";"33";"1576955166502_dsc0307.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 18:06:08";"2019-12-21 18:06:26"
"85";"34";"1576955358006_dsc0770.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 18:09:20";"2019-12-21 18:09:42"
"86";"34";"1576955367410_dsc09201.jpg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 18:09:28";"2019-12-21 18:09:42"
"87";"34";"1576955376027_copertina.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 18:09:36";"2019-12-21 18:09:42"
"88";"35";"1576955579944_copertina.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-21 18:13:00";"2019-12-21 18:13:44"
"89";"35";"1576955589314_dsc1102angelatripi.jpeg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 18:13:12";"2019-12-21 18:13:44"
"90";"35";"1576955598594_dsc1073loreto.jpeg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 18:13:20";"2019-12-21 18:13:44"
"91";"35";"1576955607095_dsc1128.jpeg";NULL;"NEWS";"IMAGE";"0";"2019-12-21 18:13:28";"2019-12-21 18:13:44"
"92";"36";"1577203716960_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2019-12-24 15:10:05";"2019-12-24 15:10:09"
"93";"37";"1577989319269_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-01-02 17:21:59";"2020-01-02 17:22:05"
"94";"37";"1577989332152_di_luci.jpg";NULL;"NEWS";"IMAGE";"0";"2020-01-02 17:22:13";"2020-01-02 17:22:13"
"95";"37";"1577989343029_dsc1721.jpg";NULL;"NEWS";"IMAGE";"0";"2020-01-02 17:22:24";"2020-01-02 17:22:24"
"96";"37";"1577989350904_dsc1723.jpg";NULL;"NEWS";"IMAGE";"0";"2020-01-02 17:22:32";"2020-01-02 17:22:32"
"97";"37";"1577989359958_dsc1728.jpg";NULL;"NEWS";"IMAGE";"0";"2020-01-02 17:22:41";"2020-01-02 17:22:41"
